time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2017-11-06 20:20:24.366 UTC, ,125,3158477,824,12624, , ,3, ,3, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1077,1,469,469,1, ,2,4, ,49,49, , , , , ,1,10, , , , , , , , , , , , , , , , , , , , , , , , ,1509999622449, , , , ,3145728, , , , ,4,3,9,3,3,3, , ,3,4, , , , , , , ,38,1, , ,12288,3,1087,3, , , , ,2,95,13,364,288573056,-1, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-06 20:20:51.925 UTC, ,125,6620917,324232,3475064, , ,84, ,9602, , , , , , , , , ,84,5, , , ,42,2,2, ,11, , , , , , , , , , , , , , ,702339,2,517470,517939,1,15,36,41, ,49,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509999622449, , , , ,3145728, , ,126, ,267,2523,12448,2523,2,2523, , ,3,2524, , , , , , , , , , , ,4096,2,701265,2523, , , ,1, , ,2,31,739011888,-1, , , , , , ,9530, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1904, , ,1, ,36, , , , , , 
2017-11-06 20:20:52.206 UTC, ,125,3192405,1800,45880,672, ,12,3,55,12,0.22, , , , , , ,2,12,5, ,2,1,9,3,12, ,52,20, , , , , , , , , , , , , ,703464,3, ,702467, , , , , ,63,63, , , , , ,86,7235, , , , , , , , , , , , , , , , , , , , , , , , ,1509999651936, , , , ,3145728, , , ,40,0, , , ,3, , , ,3, , , , ,40,1,2048,1, , , ,2,1526074,224, , , , , , ,3,266,16,400,101987328,-1, , , , , , ,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3, , , , , , , , 
2017-11-06 20:21:52.209 UTC, ,125,6923149,324960,3494496,282800, ,91,14,5171,72,0.01, , , , , , , ,91,12, , ,16,44,4,13, ,6878,6781, , , , , , , , , , , , , ,717498,11,1562,716275,8,19,16,44, ,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509999651936, , , , ,3145728, , , ,6869,86,14,247,14,2,14, , ,3,16, , , ,6869,1, , , , , ,24,583925,6895,14033,14, , , , , , ,2,91,724303368,-1, , , , , , ,7698, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13, ,1900,11,16,1, , , , , , 
2017-11-06 20:22:52.212 UTC, ,125,6972749,326104,3544096,282800, ,102, ,623, , , , , , , , , ,102,23, , , ,45,9,29, ,593, , , , , , , , , , , , , , ,773745,42,3377,770558,31,87,37,139, ,55,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509999651936, , , , ,3145728, , , , ,25,62,192,62, ,62, , ,3,64, , , , ,1, , , , , , , , ,56248,62, , , , , , , , ,866032960,-1, , , , , , ,761, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,51, , ,266,42, , , , , , , 
2017-11-06 20:23:52.220 UTC, ,125,6972749,326104,3544096,282800, ,102, , , , , , , , , , , ,102,23, , , ,45,9,29, , , , , , , , , , , , , , , , ,773745,42,3377,770558, , , , , ,55,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509999651936, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,866032960,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-06 20:24:52.225 UTC, ,125,7061997,326728,3633344,282800, ,108, ,2138, , , , , , , , , ,108,29, , , ,45,6,35, ,1865, , , , , , , , , , , , , , ,975124,76,3544,970206,34,273,74,337, ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509999651936, , , , ,3145728, , , , ,54,68,443,68, ,68, , ,3,70, , , , ,1, , , , , , , , ,201379,68, , , , , , , , ,1027139952,-1, , , , , , ,2526, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,388, , ,919,92, , , , , , , 
2017-11-06 20:25:52.229 UTC, ,125,7061997,326728,3633344,282800, ,108, ,7, , , , , , , , , ,108,29, , , ,45,6,35, , , , , , , , , , , , , , , , ,975124,76,3544,970206, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509999651936, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,1038701160,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, , , , , , , 
2017-11-06 20:26:52.230 UTC, ,125,7076101,327144,3647448,282800, ,112, ,133, , , , , , , , , ,112,33, , , ,45,8,41, ,127, , , , , , , , , , , , , , ,982972,78,4309,980634,2,13,10,25, ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509999651936, , , , ,3145728, , , , ,4,4,10,4, ,4, , ,3,5, , , , ,1, , , , , , , , ,7848,4, , , , , , , , ,1048335096,-1, , , , , , ,163, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,11, , ,76,3, , , , , , , 
2017-11-06 20:27:52.233 UTC, ,125,7076101,327144,3647448,282800, ,112, ,93, , , , , , , , , ,112,33, , , ,45,8,41, ,93, , , , , , , , , , , , , , ,982972,78,4309,980634, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509999651936, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,1057968936,-1, , , , , , ,93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,93, , , , , , , , 
